Row Labels,Sum of GRADS,
01100170112607,69,
01100170130401,34,
01100170130419,88,
01316170131763,40,
01611190000001,1,
01611190106401,44,
01611190119222,16,
01611190130229,403,
01611190130609,43,
01611190130625,27,
01611190132142,229,
01611190134304,57,
01611270130294,4,
01611270130450,284,
01611430122697,54,
01611430131177,702,
01611430134924,9,
01611500132225,692,
01611500133876,3,
01611500135533,61,
01611680132746,32,
01611760000001,1,
01611760130062,485,
01611760130138,59,
01611760130435,9,
01611760130534,40,
01611760134270,474,
01611760134452,332,
01611760135244,465,
01611760138693,392,
01611920000001,1,
01611920108670,130,
01611920113902,108,
01611920127944,36,
01611920133009,148,
01611920133629,283,
01611920135319,426,
01611920138339,257,
01612000120931,73,
01612000130393,48,
01612000132670,59,
01612000133397,469,
01612000134536,396,
01612340130054,315,
01612340130484,22,
01612340135426,28,
01612420110460,69,
01612420110478,5,
01612420126763,36,
01612420134668,756,
01612590000001,3,
01612590100065,59,
01612590100701,38,
01612590106906,18,
01612590108944,49,
01612590110189,55,
01612590111856,28,
01612590112797,57,
01612590114868,77,
01612590115238,47,
01612590115386,46,
01612590115667,75,
01612590118224,38,
01612590118653,46,
01612590119859,37,
01612590125161,97,
01612590125716,98,
01612590126748,55,
01612590130146,120,
01612590130179,13,
01612590130575,59,
01612590130617,73,
01612590130666,67,
01612590132555,1,
01612590132688,153,
01612590135905,221,
01612590136051,440,
01612590137943,310,
01612593030772,104,
01612596066450,49,
01612596114011,24,
01612750130286,26,
01612750136515,199,
01612910000001,1,
01612910134528,88,
01612910137588,514,
01613090000001,3,
01613090111799,34,
01613090114421,122,
01613090130849,404,
01613090137745,90,
01613090137810,277,
01750930132704,488,
01750930138453,35,
01751010000000,15,
01751010000001,2,
01751010130096,510,
01751010130252,42,
01751010130583,608,
02100250230011,1,
03100330330068,5,
03739810330019,10,
03739810330050,23,
03739810330753,136,
03739810334755,122,
04100410114991,113,
04100410129817,4,
04100410134213,9,
04100410430066,16,
04100410430090,33,
04100416069256,2,
04614080430207,3,
04614080430827,29,
04614240120394,82,
04614240430199,43,
04614240431502,51,
04614240431676,416,
04614240437558,389,
04614320433201,77,
04614400121509,6,
04614570125252,15,
04615150434803,196,
04615150435602,191,
04615150437566,52,
04615310121715,14,
04615310432856,38,
04615310437350,223,
04615316112585,12,
04755070433946,8,
04755070433953,111,
05100580530048,5,
05100580530154,69,
05100589010745,3,
05615560000001,1,
05615560530014,22,
05615560530121,9,
05615560532507,136,
05615640530022,12,
05615640530055,41,
05615640531509,195,
06100660630111,7,
06615980630012,6,
06615980630046,11,
06615980631259,87,
06616060634758,28,
06616140630087,6,
06616140635250,96,
06616220630038,18,
06616220637504,83,
07100740114470,75,
07100740120444,42,
07100740730614,10,
07100740731380,505,
07616300000001,4,
07616300107524,33,
07616300730283,305,
07616300731125,317,
07616300733725,371,
07616300734244,275,
07616480110494,45,
07616480117218,149,
07616480730101,65,
07616480730259,133,
07616480730465,451,
07616480730481,1,
07616480730861,352,
07616630130930,59,
07616970737023,114,
07616970737619,20,
07617210000001,1,
07617210107797,572,
07617210730457,594,
07617210730572,97,
07617210733980,542,
07617210733998,64,
07617390730440,27,
07617390730473,29,
07617390730549,248,
07617540000000,1,
07617540000001,10,
07617540730044,353,
07617540730317,52,
07617540730333,4,
07617540730358,13,
07617540730416,16,
07617540730424,95,
07617540731646,496,
07617540731836,279,
07617540734566,267,
07617540734764,110,
07617540737809,208,
07617880730184,72,
07617880735407,649,
07617960000000,14,
07617960000001,5,
07617960101477,115,
07617960132100,52,
07617960730291,52,
07617960730325,50,
07617960730598,263,
07617960732164,266,
07617960732941,310,
07617960733253,98,
07617960733659,174,
07617960735316,231,
07617960735902,320,
07618040000001,1,
07618040113118,621,
07618040730051,653,
07618040730218,79,
07618040734368,566,
07618040736504,495,
07618040736819,38,
08100820106625,2,
08100820106666,6,
08100820830042,2,
08100820830059,77,
08618200833004,167,
08618200836205,39,
09100900106047,1,
09100900930016,5,
09100900930123,75,
09100900930131,64,
09618530000001,1,
09618530930081,599,
09618530930164,260,
09618530930214,21,
09618530930222,28,
09618530932756,235,
09618530934554,48,
09618530936302,404,
09619030930040,40,
09619030930107,10,
09619030937805,227,
09737830121566,10,
09737830930073,79,
09737830930099,9,
10101080109991,151,
10101080111682,2,
10101080119628,17,
10101081030337,22,
10101081030899,4,
10101086069488,5,
10621170110270,1,
10621170113555,571,
10621170118018,100,
10621171030196,488,
10621171030469,21,
10621171030501,599,
10621171030683,475,
10621171031004,52,
10621171031053,640,
10621251030113,18,
10621251030477,7,
10621251031376,228,
10621581031954,1,
10621581032150,183,
10621660108555,50,
10621660114355,62,
10621660114553,108,
10621660120964,5,
10621661030279,539,
10621661030287,128,
10621661030295,217,
10621661030584,86,
10621661030642,53,
10621661030675,584,
10621661030840,81,
10621661031632,111,
10621661031897,538,
10621661032507,468,
10621661032911,394,
10621661034214,344,
10621661035831,406,
10621666112619,4,
10622570124727,13,
10622571033695,242,
10622571033729,3,
10622650108092,118,
10622650116640,19,
10622650126292,24,
10622651030378,27,
10622651033703,29,
10622651035310,343,
10622811033950,36,
10623310130880,3,
10623640126870,24,
10623641034990,187,
10623800124982,84,
10624141030451,32,
10624141030766,49,
10624141036086,42,
10624141036094,576,
10624301030758,33,
10624301036607,13,
10624301036672,354,
10625396112387,74,
10625470120535,168,
10625470127159,8,
10738091030121,159,
10738091030147,3,
10739650114751,4,
10739651030386,82,
10739651030626,863,
10739651035112,45,
10739991033422,28,
10739991033430,305,
10751271030261,7,
10751271030493,170,
10752341030352,6,
10752341037456,90,
10752751030139,22,
10752751036938,99,
10754081030253,1,
10754081035575,127,
10755981030535,133,
10755981030543,2,
10767780122473,24,
10767781030774,30,
10767781038298,3,
10767781038306,214,
11101160130724,15,
11101160130807,44,
11101161130087,3,
11101161130103,19,
11101166077184,2,
11626461136209,8,
11626531132109,5,
11626611130038,12,
11626611132851,100,
11754811130012,10,
11754811135656,161,
11765621130053,7,
11765621133701,57,
12101240106153,27,
12101240106161,8,
12101240106179,5,
12101240106195,6,
12101240106203,3,
12101240134163,34,
12626870107110,22,
12626870124263,1,
12626871230044,22,
12626871230051,20,
12626871230705,174,
12626871235209,120,
12628100108688,34,
12628101233352,58,
12628101233402,150,
12629011230028,14,
12629011234004,50,
12629271230150,10,
12630320111203,57,
12630401230010,2,
12630401237007,33,
12753741232909,36,
12753821230085,3,
12753821230135,67,
12755150000000,38,
12755151232057,32,
12755151232206,209,
13101320131094,28,
13101320134379,33,
13101321330117,2,
13630811331354,68,
13630811331404,401,
13630991332154,84,
13630991332204,645,
13631071332501,83,
13631151330133,417,
13631151333004,436,
13631151333558,45,
13631490125922,3,
13631491335306,132,
13631491337138,3,
13631641331115,10,
13631641335900,274,
13632141330018,2,
13632141337609,33,
14101400117994,483,
14101400128447,118,
14101400128454,136,
14632481431352,10,
14632711438308,3,
14632891434901,22,
14632971436203,6,
14766870119081,8,
14766871430057,25,
14766871430107,2,
14766871431600,123,
15101570119669,84,
15101571530302,70,
15101571530310,197,
15101571530492,52,
15634120100529,300,
15634120116384,196,
15634121531656,78,
15634121531672,329,
15635290100198,547,
15635290110999,534,
15635290116392,483,
15635290116400,521,
15635290125062,116,
15635291530021,33,
15635291530047,48,
15635291530112,125,
15635291530252,503,
15635291530344,516,
15635291530369,476,
15635291530385,581,
15635291530435,135,
15635291530476,484,
15635291530708,590,
15635291532290,451,
15635291532605,455,
15635291533330,412,
15635291533538,93,
15635291534775,336,
15635291535087,324,
15635291535392,439,
15635291536325,81,
15635291536606,425,
15636280127183,103,
15636280127209,188,
15636280134312,23,
15636281533843,18,
15636770114512,87,
15636771534460,34,
15636851530997,40,
15636851531987,85,
15637761530039,14,
15637761530377,30,
15637761534957,176,
15638181530138,14,
15638181535905,227,
15638261530245,11,
15638261536135,266,
15638591530351,65,
15638591536440,334,
15737420000001,1,
15737421530054,35,
15737421531367,284,
15739081530146,10,
15739081530229,4,
15739081534155,204,
15751681530401,71,
16101651630102,9,
16101651630193,19,
16101656069298,2,
16638750101717,43,
16638750112698,58,
16638911632207,148,
16639250118919,189,
16639251630060,18,
16639251630169,286,
16639251634245,33,
16639251634401,324,
16639580132860,154,
16639820110205,52,
16639821630011,46,
16639821635606,409,
16739321630078,12,
16739321630110,1,
16739321630953,130,
17101731730167,2,
17640141730043,2,
17640141730159,1,
17640141734359,115,
17640220000001,1,
17640220132571,13,
17640221730027,21,
17640221730118,5,
17640221735000,106,
17640301730019,8,
17640301730142,3,
17640301732304,86,
17640550129601,15,
17640551730035,13,
17640551736008,101,
17769761730050,4,
17769761737006,47,
18101811830058,2,
18640891831601,12,
18641390131953,3,
18641391833805,191,
18641620120287,33,
18641626010763,44,
18642041830132,52,
18642041838507,13,
18750360121657,16,
18750361833409,17,
19101990109942,52,
19101990112128,118,
19101990121822,29,
19101990121871,20,
19101990121897,4,
19101990121905,3,
19101990121921,18,
19101990121939,2,
19101990121970,17,
19101990121988,6,
19101990121996,4,
19101990122010,20,
19101990122028,21,
19101990122036,19,
19101990122044,9,
19101990122051,1,
19101990122077,7,
19101990123604,3,
19101990123612,1,
19101990127274,11,
19101990127522,14,
19101991933399,144,
19101991995232,4,
19101991995869,132,
19101991996008,252,
19101991996172,28,
19101991996214,50,
19642120000000,6,
19642120000001,2,
19642121930056,505,
19642121930361,304,
19642121931641,114,
19642121931880,161,
19642121933159,469,
19642121995596,27,
19642460100081,660,
19642460108407,488,
19642460111872,89,
19642460115337,9,
19642460126003,10,
19642461930213,398,
19642461931732,125,
19642461936624,524,
19642461937051,664,
19642461995398,667,
19642461995406,288,
19642461995844,427,
19642461995968,10,
19642461996537,353,
19642461996644,100,
19642610000001,1,
19642611930288,840,
19642611995299,30,
19642791930528,271,
19642791931765,84,
19642791933449,239,
19642870000001,3,
19642870114397,536,
19642871930601,432,
19642871936384,188,
19642871938166,420,
19642871996479,286,
19642951930700,240,
19642951936491,24,
19643031930775,357,
19643031935618,468,
19643031938190,123,
19643110000001,5,
19643111930981,358,
19643111931021,20,
19643290000001,1,
19643291931088,471,
19643291937598,39,
19643291937739,331,
19643370000001,2,
19643370131573,10,
19643371931187,641,
19643371931237,575,
19643371933332,56,
19643371995877,3,
19643371996099,168,
19643371996230,1,
19643520000001,1,
19643520118521,17,
19643520128488,80,
19643520128496,52,
19643521930239,88,
19643521933951,365,
19643521934926,456,
19643521935048,484,
19643780000001,1,
19643781930312,30,
19643781931666,383,
19643781995885,11,
19643941931807,15,
19643941931823,580,
19644361931617,55,
19644361932086,326,
19644361936418,319,
19644361938372,387,
19644440000001,2,
19644440128322,4,
19644441932201,491,
19644441932656,23,
19644510000001,5,
19644511931625,183,
19644511932441,1009,
19644511939164,885,
19644690128736,67,
19644691932482,223,
19644691936079,28,
19645190000001,2,
19645191930320,462,
19645191932664,372,
19645191932680,293,
19645191937481,361,
19645191938919,81,
19645191995661,303,
19645191996123,13,
19645270000000,7,
19645271932698,108,
19645271932706,521,
19645351930353,29,
19645351932763,278,
19645680000001,7,
19645681932144,642,
19645681933472,86,
19645681933530,525,
19645681934082,339,
19645681995497,24,
19645681996131,238,
19645761933597,600,
19645761939677,27,
19645841996305,234,
19645920100354,128,
19646340000001,2,
19646341934231,229,
19646341936046,185,
19646341996529,55,
19646341996586,132,
19646590000001,2,
19646591934611,331,
19646831930080,491,
19646831931260,3,
19646831931781,422,
19646911996438,103,
19647090100602,128,
19647091996313,138,
19647250000000,2,
19647250000001,2,
19647250101741,3,
19647250125153,19,
19647250127381,168,
19647250131938,1,
19647251930411,50,
19647251934470,694,
19647251934678,766,
19647251935758,792,
19647251936947,956,
19647251937176,97,
19647251939875,812,
19647251995539,174,
19647251995570,402,
19647251995935,541,
19647251996503,99,
19647330000001,58,
19647330100677,83,
19647330100750,83,
19647330100776,23,
19647330100800,111,
19647330101196,154,
19647330101329,41,
19647330101659,45,
19647330101675,131,
19647330101683,30,
19647330102137,22,
19647330102434,112,
19647330102541,81,
19647330102764,25,
19647330102913,97,
19647330102921,113,
19647330106351,37,
19647330106435,65,
19647330106831,102,
19647330106849,132,
19647330106864,116,
19647330106997,189,
19647330107003,237,
19647330107011,104,
19647330107755,234,
19647330108878,197,
19647330108894,133,
19647330108928,45,
19647330108936,140,
19647330109447,308,
19647330109454,395,
19647330109462,284,
19647330109512,81,
19647330110304,44,
19647330110668,19,
19647330111484,30,
19647330111492,133,
19647330111500,104,
19647330111575,129,
19647330111583,133,
19647330111625,94,
19647330111641,123,
19647330111658,147,
19647330112029,82,
19647330112037,136,
19647330112045,303,
19647330112052,198,
19647330112508,108,
19647330112870,63,
19647330114850,252,
19647330115030,38,
19647330115212,34,
19647330115253,70,
19647330116509,52,
19647330116954,11,
19647330117051,238,
19647330117069,106,
19647330117077,54,
19647330117598,93,
19647330117606,133,
19647330117622,27,
19647330117721,71,
19647330117747,86,
19647330117762,78,
19647330117911,35,
19647330118588,246,
19647330119651,84,
19647330119685,79,
19647330119693,83,
19647330119727,353,
19647330119966,137,
19647330120071,28,
19647330120360,88,
19647330120808,11,
19647330121095,72,
19647330121285,109,
19647330121293,82,
19647330122275,48,
19647330122333,102,
19647330122341,131,
19647330122358,78,
19647330122366,71,
19647330122374,82,
19647330122382,84,
19647330122606,43,
19647330123133,119,
19647330123141,51,
19647330124362,236,
19647330124370,107,
19647330124388,127,
19647330124396,109,
19647330124404,64,
19647330124412,62,
19647330124420,77,
19647330124479,151,
19647330124487,77,
19647330124495,98,
19647330124503,68,
19647330124511,71,
19647330124529,150,
19647330124560,166,
19647330124883,86,
19647330124891,107,
19647330124933,102,
19647330125864,97,
19647330125989,121,
19647330126136,94,
19647330126474,48,
19647330126482,105,
19647330126490,108,
19647330126508,105,
19647330126516,134,
19647330126524,141,
19647330126532,105,
19647330126540,109,
19647330126557,78,
19647330126573,118,
19647330126615,136,
19647330126623,106,
19647330127787,92,
19647330127795,86,
19647330127803,87,
19647330127852,31,
19647330127894,90,
19647330127910,109,
19647330129536,14,
19647330129627,18,
19647330129775,133,
19647330130997,74,
19647330133272,82,
19647330133298,51,
19647331930064,6,
19647331930296,64,
19647331930387,110,
19647331930403,11,
19647331930429,22,
19647331930486,5,
19647331930551,37,
19647331930577,17,
19647331930619,20,
19647331930650,293,
19647331930692,37,
19647331930734,21,
19647331930783,23,
19647331930791,4,
19647331930866,533,
19647331930924,161,
19647331930940,20,
19647331930973,41,
19647331931047,705,
19647331931336,28,
19647331931377,19,
19647331931385,11,
19647331931393,10,
19647331931435,14,
19647331931450,16,
19647331931468,46,
19647331931476,229,
19647331931484,11,
19647331931500,38,
19647331931518,26,
19647331931526,343,
19647331931534,35,
19647331931559,27,
19647331931682,10,
19647331931690,29,
19647331931708,426,
19647331931716,45,
19647331931856,17,
19647331931864,657,
19647331931930,39,
19647331931955,13,
19647331931971,18,
19647331931989,14,
19647331931997,47,
19647331932128,190,
19647331932250,26,
19647331932318,26,
19647331932334,20,
19647331932342,28,
19647331932383,185,
19647331932391,11,
19647331932540,387,
19647331932623,939,
19647331932821,12,
19647331932847,209,
19647331932888,219,
19647331932920,375,
19647331932987,615,
19647331933001,318,
19647331933043,245,
19647331933118,384,
19647331933233,251,
19647331933241,331,
19647331933381,515,
19647331933746,1020,
19647331933795,345,
19647331933852,566,
19647331934033,273,
19647331934157,367,
19647331934371,174,
19647331934454,81,
19647331935121,188,
19647331935352,217,
19647331935519,297,
19647331935568,514,
19647331935717,1,
19647331935865,436,
19647331936160,525,
19647331936350,540,
19647331937085,13,
19647331937226,323,
19647331937424,367,
19647331937622,470,
19647331937838,560,
19647331938307,555,
19647331938554,369,
19647331938612,476,
19647331938885,357,
19647331938968,472,
19647331939040,405,
19647331939107,317,
19647331939305,208,
19647331939479,228,
19647331939859,322,
19647331939941,451,
19647331995448,410,
19647331995794,111,
19647331995836,722,
19647331996073,32,
19647331996115,279,
19647331996610,48,
19647336016885,142,
19647336019475,81,
19647336019715,116,
19647336058002,162,
19647336060495,1,
19647336060529,7,
19647336061451,184,
19647336061600,48,
19647336069157,4,
19647336116750,91,
19647336119945,68,
19647740109538,368,
19647740114777,83,
19647740127845,5,
19647741935428,93,
19647741935436,454,
19647900000001,2,
19647901935899,29,
19647901935923,379,
19647901996404,15,
19648080124552,144,
19648081930155,589,
19648081930825,566,
19648081935998,568,
19648081938927,112,
19648081996388,14,
19648400000001,2,
19648401933647,305,
19648401934728,500,
19648401936467,423,
19648401936475,97,
19648570112714,182,
19648570125377,107,
19648576119580,34,
19648650000001,2,
19648651933308,38,
19648651995588,629,
19648651996552,351,
19648731936749,1013,
19648731936756,90,
19648810000001,5,
19648810113464,45,
19648810117440,50,
19648810118075,60,
19648811931062,98,
19648811931674,246,
19648811936103,167,
19648811936806,76,
19648811936822,412,
19649070000001,5,
19649070115170,72,
19649071933175,237,
19649071933324,369,
19649071936772,105,
19649071937028,263,
19649071995901,379,
19649071996495,93,
19649076061634,74,
19649076061642,57,
19649641937754,263,
19649800000001,1,
19649801933373,27,
19649801938000,663,
19649801995737,154,
19650290000001,1,
19650291938455,335,
19650521938679,521,
19650521995745,20,
19650521995976,7,
19650600000001,15,
19650600110320,3,
19650601936277,434,
19650601938083,81,
19650601938356,495,
19650601938752,542,
19650601939602,535,
19650940112706,230,
19650940122432,229,
19650940130005,10,
19650941938513,79,
19650941939537,514,
19651281930338,108,
19651281931302,600,
19651281934868,624,
19651281936889,331,
19651281937903,496,
19651281939701,436,
19651281995653,186,
19651360000001,1,
19651360102459,494,
19651360102475,570,
19651360112359,8,
19651360114439,351,
19651360117234,65,
19651360121731,62,
19651361931492,468,
19651361931740,542,
19651361932532,57,
19651361933902,496,
19651361934421,233,
19651361995802,737,
19651361996263,256,
19651361996321,106,
19734370000001,2,
19734371931567,158,
19734371931963,342,
19734371932326,323,
19734371995695,229,
19734371996057,5,
19734451933316,36,
19734451934801,266,
19734451935246,450,
19734451938935,37,
19734451939834,384,
19734451939925,235,
19734520000001,3,
19734520120600,30,
19734521930106,57,
19734521936228,407,
19734521937564,517,
19734601932862,736,
19734601937747,16,
19734601939149,655,
19752911995810,425,
19752911996016,259,
19752911996081,29,
19753090127100,157,
19753090129411,14,
19753090129742,52,
19753090130955,2,
19753090131383,23,
19753090131557,2,
19753090131987,78,
19753090132654,64,
19753090134585,9,
19753090134619,8,
19753090135145,31,
19753091995786,84,
19753330000001,5,
19753331935808,609,
19753410000001,5,
19753410116285,1,
19753411937143,637,
19753411995752,39,
19756636120158,95,
19756971996693,91,
19757131930122,36,
19757131930163,630,
19757131934553,526,
19757131937697,538,
19757131995430,54,
19764970115725,30,
19768690119016,117,
19768690119636,111,
19768690131128,36,
19768850132928,24,
19769680109926,68,
20102070117184,92,
20102072030054,1,
20102072030153,13,
20102072030229,51,
20102076077200,11,
20652012030047,2,
20652012032357,224,
20652430110965,542,
20652430118950,16,
20652430123620,35,
20652432035640,45,
20652432035707,460,
20755800110403,4,
20755800111443,2,
20755802030161,4,
20755802030203,133,
20756060100180,3,
20756060117010,58,
20756060125021,53,
20756060132936,19,
20756066113948,1,
20764140115550,3,
20764142030013,133,
20764142030039,8,
20764142030104,22,
20764142030237,23,
21102150113183,2,
21102152130037,17,
21102152130102,4,
21654170000001,1,
21654172130045,16,
21654172132264,38,
21654172132272,273,
21654172133056,224,
21654662133254,26,
21654662133262,242,
21654662134005,231,
21654820000001,3,
21654822130078,44,
21654822131340,242,
21654822132587,394,
21654822133692,319,
21654822134419,50,
21733612134310,39,
22102236105308,1,
22655322230035,14,
22655322230068,19,
22655322230076,2,
22655322235356,102,
23102312330124,6,
23102312330447,6,
23655402330058,4,
23655402330900,44,
23655650123737,4,
23655652330215,16,
23655652331361,88,
23655812330090,6,
23655812330306,2,
23655812333185,42,
23655992330108,2,
23655992333649,31,
23656072330033,8,
23656072334563,12,
23656150128280,42,
23656152330413,19,
23656152330454,12,
23656152334704,65,
23656152335024,281,
23656230112300,8,
23656232330066,32,
23656232330314,13,
23656232330363,10,
23656232335487,75,
23738662330041,12,
23738662330116,1,
23739162332260,24,
23752182332724,3,
24102490106518,27,
24102492430056,23,
24102492430148,107,
24102492430163,26,
24102492430171,27,
24656982430080,7,
24656982430106,2,
24656982432409,160,
24657302430064,32,
24657302433001,101,
24657550119073,34,
24657550120923,329,
24657552431492,37,
24657552434207,311,
24657890127373,363,
24657892430049,5,
24657892430098,364,
24657892430205,370,
24657892430601,400,
24657892433605,265,
24657892435204,340,
24657892439602,81,
24736192430031,28,
24736192431807,134,
24753172430015,12,
24753172431203,149,
24753660114538,9,
24753662430114,167,
24753662430197,27,
25658962537702,8,
25735852530020,4,
25735852535409,49,
25735932530087,7,
25735934737250,34,
26102640124990,98,
26102640126698,50,
26102640128645,2,
26102642630028,5,
26736682633006,16,
26736682635001,6,
26736922630010,68,
26736922630036,8,
27102720125765,31,
27102722730117,6,
27102722730232,73,
27102722730265,51,
27659790135111,2,
27659872730018,13,
27659872730414,194,
27660680134254,1,
27660682730083,11,
27660682730174,218,
27660682732170,205,
27660920111435,119,
27660922730240,29,
27660922732253,32,
27660922732808,284,
27660922735348,244,
27661342731115,7,
27661342733657,137,
27661590124610,75,
27661592730109,483,
27661592730166,462,
27661592733178,377,
27661592734481,92,
27661592734556,550,
27738252730034,223,
27738252730125,61,
27738252730141,21,
27751500118349,3,
27754400106112,21,
27754402730190,310,
27754732730067,9,
27754732730885,160,
28102802830073,3,
28102802830099,42,
28662412830065,8,
28662412831758,62,
28662660101964,39,
28662660121087,350,
28662660128314,7,
28662662830016,380,
28662662830115,88,
28662662830149,60,
28662662835601,376,
28662902837102,109,
29102980114314,17,
29102980116681,3,
29102980116913,1,
29102980126219,89,
29102980130823,212,
29102982930147,622,
29663570000001,1,
29663570112367,44,
29663570124834,13,
29663572930030,32,
29663572930048,162,
29663572930071,49,
29663572930089,37,
29663572935500,318,
29768776111371,17,
30103060126037,115,
30103060132910,121,
30103060134239,9,
30103060134841,1,
30103063030426,85,
30103063030632,109,
30103063030764,583,
30103066069553,6,
30664310000001,1,
30664313030038,623,
30664313030228,587,
30664313030384,69,
30664313030616,184,
30664313032786,241,
30664313033057,551,
30664313033115,599,
30664313033784,459,
30664313034204,370,
30664313036712,394,
30664313038239,482,
30664493030624,29,
30664493030640,423,
30664640106765,427,
30664640113381,598,
30664640124131,57,
30664643030210,511,
30664643030574,723,
30664643030756,573,
30664643030798,3,
30664643035987,110,
30664643036001,706,
30664643038569,621,
30664646120356,23,
30665140000001,1,
30665143030335,27,
30665143030855,440,
30665143032505,456,
30665143033362,514,
30665143033610,141,
30665143037090,421,
30665143037348,580,
30665143037496,594,
30665223030103,89,
30665223030434,431,
30665223032752,577,
30665223033578,545,
